x,y,vx,vy
1.40131,1.17133,-0.512583,-0.952249
1.22189,1.92557,-0.231697,-0.641914
1.73206,1.29723,-0.803819,-0.745734
1.17815,1.8258,-0.520315,-0.530852
1.66118,1.87852,-0.372416,-0.874423
1.91955,1.79607,-0.597671,-0.250033
1.35453,1.4278,-0.974275,-0.897299
1.79211,1.90361,-0.298198,-0.607637
1.00551,1.00089,-0.00278117,-0.0173009
1.52899,2.77587,0.647285,-0.995744
1.43792,1.33643,-0.870788,-0.980967
1.28765,2.40382,0.954655,-0.785519
1.50427,2.86941,0.39882,-0.999811
1.54679,2.82317,0.527328,-0.98912
1.44998,2.639,0.906116,-0.987572
1.24725,1.79626,-0.597181,-0.700901
1.14938,1.6841,-0.837281,-0.45223
1.22718,1.53744,-0.992979,-0.654619
1.06592,2.5364,0.993403,-0.205598
1.20036,2.35624,0.89968,-0.588639
1.9379,2.95308,0.146864,-0.193842
1.32313,1.03391,-0.106325,-0.849482
1.748,1.02262,-0.0709872,-0.711454
1.4553,1.92933,-0.220186,-0.990107
1.61932,1.40359,-0.954378,-0.930516
1.6686,1.55763,-0.983592,-0.862887
1.79106,2.49143,0.999561,-0.610234
1.46479,2.98389,0.0505954,-0.993794
1.97953,2.041,0.12845,-0.0642441
1.78104,1.20794,-0.607704,-0.63483
1.10636,1.53717,-0.993079,-0.327932
1.20091,2.69961,0.809661,-0.59002
1.14115,1.94186,-0.181638,-0.429032
1.46491,2.19543,0.576035,-0.993835
1.7522,1.56473,-0.979361,-0.702163
1.88524,1.34314,-0.880932,-0.352742
1.81032,1.61631,-0.93388,-0.561199
1.34577,1.06556,-0.204501,-0.884835
1.13989,1.50345,-0.999859,-0.425448
1.53641,2.55122,0.986996,-0.993359
1.52421,1.5174,-0.998462,-0.997031
1.84692,2.54781,0.988638,-0.462565
1.26326,1.9434,-0.176865,-0.735861
1.38161,2.76302,0.677546,-0.931534
1.42553,1.70161,-0.805953,-0.972666
1.2013,2.16223,0.487835,-0.591024
1.64219,1.30781,-0.823123,-0.901816
1.37647,2.36135,0.906531,-0.925601
1.31328,2.74482,0.718439,-0.832781
1.23983,2.85766,0.432398,-0.684094
1.19596,1.07885,-0.245186,-0.57746
1.52841,2.81536,0.548014,-0.995913
1.76904,1.72379,-0.762805,-0.663531
1.56425,1.81848,-0.539799,-0.979649
1.65979,1.30268,-0.813855,-0.876571
1.91953,2.83999,0.481724,-0.250101
1.70701,2.81526,0.548292,-0.795818
1.85473,2.57108,0.975071,-0.440692
1.54854,1.67462,-0.853227,-0.988342
1.29669,2.50796,0.999592,-0.80279
1.70433,2.65278,0.886916,-0.800887
1.47338,1.97323,-0.0839889,-0.9964
1.58426,2.40554,0.956209,-0.965062
1.47714,1.79277,-0.605976,-0.997344
1.00525,1.82956,-0.510176,-0.0164848
1.44777,1.47147,-0.99592,-0.98651
1.77782,1.21487,-0.624854,-0.642632
1.74954,2.37135,0.919367,-0.70804
1.8754,2.51232,0.99917,-0.381491
1.71614,2.22467,0.648613,-0.778109
1.65413,2.35795,0.901995,-0.884942
1.74704,1.63448,-0.912019,-0.713581
1.29455,1.76371,-0.675926,-0.798749
1.33539,1.80126,-0.584541,-0.869153
1.50198,1.69513,-0.817819,-0.999944
1.3524,2.78368,0.6284,-0.894352
1.10123,1.11229,-0.345473,-0.312686
1.63131,2.85848,0.430069,-0.916005
1.06949,2.76094,0.682316,-0.216559
1.7406,2.48838,0.999244,-0.727589
1.67736,2.65131,0.889026,-0.848658
1.79142,1.01593,-0.0500197,-0.609341
1.70991,1.56715,-0.977734,-0.790234
1.20937,1.67887,-0.846131,-0.611286
1.48035,2.14678,0.444923,-0.998003
1.54221,1.23212,-0.666221,-0.991152
1.52538,1.81789,-0.541358,-0.996784
1.4571,2.5187,0.998168,-0.990837
1.11802,1.04117,-0.128971,-0.362316
1.30644,2.90324,0.299284,-0.820697
1.9723,1.06293,-0.196413,-0.0869056
1.66646,1.16255,-0.488724,-0.866318
1.30844,2.00518,0.016269,-0.824224
1.25287,2.5085,0.99954,-0.713396
1.6693,2.36279,0.908444,-0.861774
1.40973,2.34007,0.876347,-0.959971
1.83336,2.18855,0.558253,-0.499875
1.90115,2.27177,0.753714,-0.30556
1.09123,2.88381,0.356934,-0.28267
1.54034,1.96091,-0.122497,-0.991918
1.34135,1.51189,-0.999207,-0.878246
1.51058,1.92253,-0.240961,-0.999385
1.91326,2.881,0.365181,-0.269119
1.65587,2.92577,0.231071,-0.882395
1.10984,1.75226,-0.702028,-0.338254
1.26489,2.16264,0.488961,-0.739335
1.97722,1.33623,-0.870484,-0.0715098
1.30418,1.07589,-0.236137,-0.816594
1.79743,2.11503,0.353526,-0.594237
1.86007,2.09396,0.290869,-0.425535
1.65001,2.23533,0.673702,-0.890936
1.58175,2.85146,0.449875,-0.967126
1.52452,1.59712,-0.953743,-0.996966
1.64731,1.63792,-0.907495,-0.89471
1.18108,1.59933,-0.951598,-0.538667
1.29009,1.00771,-0.0242262,-0.790294
1.68427,1.71571,-0.778953,-0.836995
1.4798,2.25382,0.715496,-0.997907
1.09802,2.1273,0.389298,-0.303051
1.98791,1.22002,-0.637443,-0.0379727
1.00427,1.01715,-0.0538425,-0.0134023
1.37198,1.4463,-0.985743,-0.920102
1.50744,2.08806,0.273107,-0.999627
1.28322,1.58848,-0.961575,-0.776878
1.22328,1.0727,-0.226391,-0.645247
1.34666,2.34213,0.879444,-0.886116
1.96309,2.935,0.20278,-0.115677
1.14943,1.43376,-0.978328,-0.45237
1.23886,2.45655,0.9906,-0.681858
1.40991,1.34505,-0.883809,-0.96012
1.29141,2.34214,0.879467,-0.792807
1.47816,1.8867,-0.348454,-0.9976
1.68529,2.3589,0.903265,-0.835217
1.54332,1.85389,-0.443037,-0.990659
1.9913,2.01197,0.0375876,-0.02731
1.06005,1.71691,-0.776573,-0.18753
1.90149,1.349,-0.889474,-0.30455
1.91098,2.43176,0.977003,-0.275998
1.62046,1.76475,-0.673518,-0.929189
1.94306,2.31067,0.828203,-0.177922
1.33923,2.22528,0.650048,-0.875056
1.49754,1.57434,-0.972764,-0.99986
1.03042,1.44067,-0.982602,-0.0954149
1.36893,1.66755,-0.864584,-0.91637
1.08282,1.20243,-0.593896,-0.257241
1.99365,1.06684,-0.208433,-0.0199328
1.11977,2.39548,0.946517,-0.367404
1.79167,1.64853,-0.892999,-0.608722
1.70815,1.91728,-0.256945,-0.79362
1.76703,1.09521,-0.294641,-0.66822
1.84221,2.24694,0.700252,-0.475596
1.17894,1.25578,-0.719746,-0.532975
1.09164,1.32356,-0.850194,-0.283896
1.07524,2.5804,0.968158,-0.234151
1.73588,1.19944,-0.586294,-0.737716
1.64358,2.50973,0.999421,-0.89993
1.15001,2.07428,0.231237,-0.45398
1.56874,2.24373,0.692967,-0.976661
1.31024,1.25899,-0.726772,-0.827409
1.15535,1.83011,-0.508716,-0.468876
1.38676,2.16735,0.501813,-0.937288
1.02796,1.39503,-0.946012,-0.0877083
1.88657,1.88585,-0.35095,-0.348829
1.3973,1.76532,-0.672199,-0.9483
1.58576,2.23372,0.669957,-0.963825
1.90576,1.26388,-0.737181,-0.291714
1.04306,1.07348,-0.22877,-0.134839
1.16574,2.911,0.275932,-0.497445
1.06109,1.31696,-0.839077,-0.190733
1.90898,2.47413,0.996649,-0.282056
1.04538,1.67977,-0.844623,-0.142068
1.44382,1.24061,-0.685875,-0.984359
1.75157,1.99093,-0.0284882,-0.703555
1.7064,2.03864,0.121072,-0.796998
1.39939,1.32847,-0.858231,-0.950408
1.92798,2.44308,0.984018,-0.224313
1.26719,2.44681,0.985963,-0.744204
1.47884,1.08051,-0.250222,-0.997741
1.52645,1.74694,-0.713801,-0.996482
1.15435,2.88827,0.34382,-0.466087
1.28421,1.79073,-0.611035,-0.778799
1.6491,1.60896,-0.941881,-0.892199
1.05713,2.06075,0.189674,-0.178507
1.01664,1.57171,-0.97467,-0.0522503
1.98194,2.33954,0.875535,-0.0567031
1.50509,2.40162,0.952518,-0.999763
1.0466,2.62014,0.929511,-0.145865
1.75466,2.77936,0.638927,-0.696612
1.30134,1.55255,-0.986292,-0.811399
1.71767,2.38361,0.93379,-0.775076
1.96168,1.39934,-0.950358,-0.120084
1.64765,1.66174,-0.87356,-0.894238
1.97909,2.40495,0.955682,-0.0656381
1.94382,2.5977,0.953168,-0.175569
1.70765,1.91363,-0.268003,-0.794585
1.07976,1.28416,-0.778708,-0.247945
1.05671,2.43588,0.979722,-0.1772
1.30432,1.71065,-0.788809,-0.816852
1.24627,1.75079,-0.705285,-0.698694
1.38789,1.33817,-0.873466,-0.938507
1.14844,2.68705,0.832198,-0.449597
1.90599,1.47433,-0.996639,-0.291033
1.04661,1.95625,-0.137012,-0.145908
1.18709,1.01939,-0.0608616,-0.554465
1.23661,1.77237,-0.655628,-0.676691
1.00515,1.20106,-0.590422,-0.01618
1.87361,1.85284,-0.445974,-0.386674
1.30086,2.02827,0.0886858,-0.810513
1.49057,1.89262,-0.330962,-0.99945
1.89983,1.78701,-0.620234,-0.309495
1.21146,2.85795,0.431575,-0.616488
1.9359,1.53262,-0.994694,-0.199983
1.44372,2.92378,0.237162,-0.984301
1.07038,2.57931,0.969017,-0.219293
1.13464,1.46676,-0.994442,-0.410459
1.78145,1.00682,-0.0214266,-0.633835
1.09006,1.45065,-0.987895,-0.279135
1.90624,2.35734,0.901189,-0.290277
1.07611,2.68488,0.835945,-0.236808
1.68837,1.50149,-0.999936,-0.82988
1.87615,1.06301,-0.196637,-0.379293
1.80321,2.19839,0.583624,-0.579531
1.5473,1.92737,-0.22617,-0.988891
1.80811,2.55838,0.983128,-0.566967
1.41086,2.10394,0.320739,-0.960938
1.2154,1.99709,-0.00913632,-0.626163
1.20433,2.55926,0.982639,-0.598709
1.28427,1.51029,-0.999424,-0.778921
1.75068,1.26485,-0.739258,-0.705515
1.90031,2.35449,0.89723,-0.30806
1.5148,1.7255,-0.759308,-0.998813
1.8297,1.29367,-0.797082,-0.509815
