time, Ex_field_energy, Ex_max_norm
5.7499999999999876e+00 6.7999030127460225e-02 1.1374809498329199e-02
5.7999999999999874e+00 3.8556896129347776e-02 9.4066733016311965e-03
5.8499999999999872e+00 1.7851733291409249e-02 7.5841788599890483e-03
5.8999999999999870e+00 5.8819372707927392e-03 5.8212516934014191e-03
5.9499999999999869e+00 2.4913637642785384e-03 4.3857590371807476e-03
5.9999999999999867e+00 7.3474308241597156e-03 6.3375602390065514e-03
6.0499999999999865e+00 1.9962381704423493e-02 8.2290321637133144e-03
6.0999999999999863e+00 3.9729496637953089e-02 9.8693941966971760e-03
6.1499999999999861e+00 6.5904144615968246e-02 1.1679500491587766e-02
6.1999999999999860e+00 9.7646847086535898e-02 1.3628808286487206e-02
6.2499999999999858e+00 1.3403272395754398e-01 1.5554419724601877e-02
6.2999999999999856e+00 1.7409199577605863e-01 1.7347561792847164e-02
6.3499999999999854e+00 2.1676767200260563e-01 1.8701650129590814e-02
6.3999999999999853e+00 2.6103503982190479e-01 1.9861130907646896e-02
6.4499999999999851e+00 3.0585425695986806e-01 2.1191937789932336e-02
6.4999999999999849e+00 3.5019422742682516e-01 2.2624447342527630e-02
6.5499999999999847e+00 3.9310113545291198e-01 2.3759002461517062e-02
6.5999999999999845e+00 4.3369422717084499e-01 2.5188402007784650e-02
6.6499999999999844e+00 4.7114405922020447e-01 2.6289597023679601e-02
6.6999999999999842e+00 5.0466083052348010e-01 2.7005665033286910e-02
6.7499999999999840e+00 5.3359044520226762e-01 2.7247733200213786e-02
6.7999999999999838e+00 5.5738952279415677e-01 2.7452640274364334e-02
6.8499999999999837e+00 5.7570661956772873e-01 2.7890316422953490e-02
6.8999999999999835e+00 5.8822287674197216e-01 2.8381608688711514e-02
6.9499999999999833e+00 5.9473259700207237e-01 2.8797186728482055e-02
6.9999999999999831e+00 5.9522430922297098e-01 2.8814768169465842e-02
7.0499999999999829e+00 5.8986181644775615e-01 2.8625434645648363e-02
7.0999999999999828e+00 5.7880746220637325e-01 2.8248653173200047e-02
7.1499999999999826e+00 5.6232381391372710e-01 2.7755959849192668e-02
7.1999999999999824e+00 5.4083415007473135e-01 2.7257679931445556e-02
7.2499999999999822e+00 5.1482746321513029e-01 2.6291127947153908e-02
7.2999999999999821e+00 4.8489421177695508e-01 2.5813135285008545e-02
7.3499999999999819e+00 4.5169704001977473e-01 2.4987872859794737e-02
7.3999999999999817e+00 4.1585361032592960e-01 2.3714675261958196e-02
7.4499999999999815e+00 3.7810064099978341e-01 2.2630607116537069e-02
7.4999999999999813e+00 3.3915966818067422e-01 2.1625211492863311e-02
7.5499999999999812e+00 2.9976316596003977e-01 2.0838354253394434e-02
7.5999999999999810e+00 2.6062783288837704e-01 1.9890629703609407e-02
7.6499999999999808e+00 2.2241643568249125e-01 1.8802119639011076e-02
7.6999999999999806e+00 1.8578468614019905e-01 1.7693823988513532e-02
7.7499999999999805e+00 1.5134525384702521e-01 1.6467700219843319e-02
7.7999999999999803e+00 1.1962928410799696e-01 1.4963291352013873e-02
7.8499999999999801e+00 9.1092724744808035e-02 1.3722254305121860e-02
7.8999999999999799e+00 6.6146421589614826e-02 1.2698631258688850e-02
7.9499999999999797e+00 4.5090240932144199e-02 1.1471702640239988e-02
7.9999999999999796e+00 2.8152096391340704e-02 9.9800952105788959e-03
8.0499999999999794e+00 1.5463630196788349e-02 8.4532497299466113e-03
8.0999999999999801e+00 7.0745562276037085e-03 7.1508155086566320e-03
